id,trialid,source_register,date_registration,date_enrollement,retrospective_registration,normed_spon_names,recruitment_status,phase,study_type,countries,public_title,study_category,intervention,intervention_list,target_enrollment,web_address,trial_status,pcd_auto,scd_auto,rcd_auto,tabular_results,potential_other_results,registry_scraped,is_clinical_trial_manual,is_covid_manual,rcd_manual,pcd_manual,scd_manual,comments,is_intervention,is_reg_2020,is_not_withdrawn,is_eligible_study,is_rcd_cutoff_1,has_auto_reg_results_cutoff_1,is_searched_cutoff_1,is_not_withdrawn_manual,is_rcd_cutoff_1_manual,is_analysis_pop_cutoff_1,is_dupe,dupe_primary
tri00382,ChiCTR2000030800,ChiCTR,2020-03-15,2020-02-01,TRUE,The Third Affiliated Hospital of Zunyi Medical University,Not Recruiting,Not Applicable,Diagnostic test,China,Cancelled by the investigator                Study on levels of inflammatory factors in peripheral blood of patients with novel coronavirus pneumonia (COVID-19) and their diagnostic and prognostic value,Cancelled,Cancelled,Cancelled,22,http://www.chictr.org.cn/showproj.aspx?proj=50997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,FALSE,FALSE,FALSE,NA,FALSE,NA,NA,FALSE,NA,NA
tri00383,ChiCTR2000030799,ChiCTR,2020-03-15,2020-01-20,TRUE,"Tongji Hospital, Tongji Medical College, Huazhong University of Science and Technology",Not Recruiting,Not Applicable,Diagnostic test,China,Establishment and validation of Premonitory model of deterioration of the 2019 novel corona virus pneumonia (COVID-19),Prognosis,No Intervention,No Intervention,1000,http://www.chictr.org.cn/showproj.aspx?proj=50995,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,TRUE,FALSE,FALSE,NA,FALSE,NA,NA,FALSE,NA,NA
tri00384,ChiCTR2000030798,ChiCTR,2020-03-15,2020-02-10,TRUE,Wuhan Third Hospital,Recruiting,Not Applicable,Observational,China,A medical records based study for clinical characteristics of novel coronavirus pneumonia (COVID-19),Clinical Presentation,No Intervention,No Intervention,100,http://www.chictr.org.cn/showproj.aspx?proj=50994,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,TRUE,FALSE,FALSE,NA,FALSE,NA,NA,FALSE,NA,NA
tri00385,ChiCTR2000030797,ChiCTR,2020-03-15,2020-03-07,TRUE,"Shanghai Fifth People's Hospital, Fudan University",Recruiting,Not Applicable,Observational,China,clinical study for hemodynamics and cardiac arrhythmia of novel coronavirus pneumonia (COVID-19) patients,Clinical Presentation,No Intervention,No Intervention,100,http://www.chictr.org.cn/showproj.aspx?proj=50988,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,TRUE,FALSE,FALSE,NA,FALSE,NA,NA,FALSE,NA,NA
tri00386,ChiCTR2000030796,ChiCTR,2020-03-15,2020-01-29,TRUE,The Second Hospital of Hebei Medical University,Recruiting,Not Applicable,Observational,No Country Given,Clinical characteristics and treatment of novel coronavirus pneumonia (COVID-19),Clinical Presentation,No Intervention,No Intervention,500,http://www.chictr.org.cn/showproj.aspx?proj=50991,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,TRUE,FALSE,FALSE,NA,FALSE,NA,NA,FALSE,NA,NA
tri00387,ChiCTR2000030795,ChiCTR,2020-03-15,2020-03-20,FALSE,"Tongji Hospital, Tongji Medical College, Huazhong University of Science and Technology",Not Recruiting,Not Applicable,Observational,China,A multicenter retrospective study of rheumatic  patients with novel coronavirus pneumonia (COVID-19),Clinical Presentation,No Intervention,No Intervention,90,http://www.chictr.org.cn/showproj.aspx?proj=50982,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,TRUE,FALSE,FALSE,NA,FALSE,NA,NA,FALSE,NA,NA
tri00388,ChiCTR2000030784,ChiCTR,2020-03-14,2020-01-17,TRUE,The People's Hospital of Guangxi Zhuang Autonomous Region,Recruiting,Not Applicable,Observational,China,A study for clinical characteristics of novel coronavirus pneumonia (COVID-19) patients follow-up in Guangxi,Clinical Presentation,No Intervention,No Intervention,150,http://www.chictr.org.cn/showproj.aspx?proj=50307,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,TRUE,FALSE,FALSE,NA,FALSE,NA,NA,FALSE,NA,NA
tri00389,ChiCTR2000030782,ChiCTR,2020-03-14,2020-02-01,TRUE,Cangzhou People's Hospital,Recruiting,Not Applicable,Observational,No Country Given,"The value of CD4 / CD8 cells, CRP / ALB and APCHEII in novel coronavirus pneumonia (COVID-19)",Prognosis,No Intervention,No Intervention,20,http://www.chictr.org.cn/showproj.aspx?proj=50976,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,TRUE,FALSE,FALSE,NA,FALSE,NA,NA,FALSE,NA,NA
tri00390,ChiCTR2000030779,ChiCTR,2020-03-14,2020-03-16,FALSE,Shanghai Changzheng Hospital,Recruiting,Phase 4,Interventional,China,A clinical trial for Ulinastatin Injection in the treatment of patients with severe novel coronavirus pneumonia (COVID-19),Traditional Medicine (Drug),Traditional Medicine,Traditional Medicine,100,http://www.chictr.org.cn/showproj.aspx?proj=50973,Recruiting,NA,2020-05-31,2020-05-31,0,0,TRUE,TRUE,TRUE,2020-05-31,NA,2020-05-31,NA,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,NA,NA
tri00391,ChiCTR2000030778,ChiCTR,2020-03-14,2020-01-20,TRUE,Ningbo First Hospital,Not Recruiting,Not Applicable,Observational,China,A medical records based study for epidemic and clinical features of novel coronavirus pneumonia (COVID-19) in Ningbo First Hospital,Clinical Presentation,No Intervention,No Intervention,40,http://www.chictr.org.cn/showproj.aspx?proj=50987,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,TRUE,FALSE,FALSE,NA,FALSE,NA,NA,FALSE,NA,NA
tri00392,ChiCTR2000030773,ChiCTR,2020-03-14,2020-02-12,TRUE,Huashan Hospital; Fudan Universtiy,Recruiting,Not Applicable,Interventional,China,Application of blood purification in the treatment of novel coronavirus pneumonia (COVID-19),Other (physical),Blood purification,Blood purification,20,http://www.chictr.org.cn/showproj.aspx?proj=50934,Recruiting,NA,2020-07-12,2020-07-12,0,0,TRUE,NA,NA,NA,NA,NA,NA,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,NA,NA,FALSE,NA,NA
tri00393,ChiCTR2000030768,ChiCTR,2020-03-14,2020-02-01,TRUE,Zhongnan Hospital of Wuhan University,Recruiting,Not Applicable,Epidemiological research,China,Study for the Psychological Status of Medical Staff of Otolaryngology Head and Neck Surgery in Hubei Province under the Epidemic of novel coronavirus pneumonia (COVID-19),Other (psych),No Intervention,No Intervention,450,http://www.chictr.org.cn/showproj.aspx?proj=50968,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,TRUE,FALSE,FALSE,NA,FALSE,NA,NA,FALSE,NA,NA
tri00394,ChiCTR2000030764,ChiCTR,2020-03-13,2020-03-07,TRUE,"Xiyuan Hospital, Chinese Academy of Traditional Chinese Medicine",Recruiting,Not Applicable,Observational,China,"Research for the influence of epidemic of novel coronavirus pneumonia (COVID-19) on sleep, psychological and chronic diseases among different populations",Clinical Presentation,No Intervention,No Intervention,2800,http://www.chictr.org.cn/showproj.aspx?proj=50852,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,TRUE,FALSE,FALSE,NA,FALSE,NA,NA,FALSE,NA,NA
tri00395,ChiCTR2000030763,ChiCTR,2020-03-13,2020-02-01,TRUE,Shandong Provincial Chest hospital,Recruiting,Not Applicable,Observational,China,A Medical Records Based analysis for Risk Factors for Outcomes After Respiratory Support in Patients with ARDS Due to Novel Coronavirus Pneumonia (COVID-19),Clinical Presentation,No Intervention,No Intervention,100,http://www.chictr.org.cn/showproj.aspx?proj=50921,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,TRUE,FALSE,FALSE,NA,FALSE,NA,NA,FALSE,NA,NA
tri00396,ChiCTR2000030762,ChiCTR,2020-03-13,2019-12-01,TRUE,The Second Affiliated Hospital of Guizhou University of traditional Chinese Medicine,Not Recruiting,Not Applicable,Epidemiological research,China,Diagnosis and treatment of novel coronavirus pneumonia (COVID-19) in common and severe cases based on the theory of ''Shi-Du-Yi (damp and plague)'',Traditional Medicine (Other),Traditional Medicine,Traditional Medicine,100,http://www.chictr.org.cn/showproj.aspx?proj=50950,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,TRUE,FALSE,FALSE,NA,FALSE,NA,NA,FALSE,NA,NA
tri00397,ChiCTR2000030761,ChiCTR,2020-03-13,2020-05-31,FALSE,"Renji Hospital, Shanghai Jiaotong University School of Medicine",Not Recruiting,Not Applicable,Interventional,China,Continuous renal replacement therapy (CRRT) alleviating inflammatory response in severe patients with novel coronavirus pneumonia (COVID-19) associated with renal injury: A Prospective study,Other (renal),Renal replacement therapy,Renal replacement therapy,20,http://www.chictr.org.cn/showproj.aspx?proj=50956,Not yet recruiting,NA,2020-04-01,2020-04-01,0,0,TRUE,TRUE,TRUE,2020-04-01,NA,2020-04-01,"This is tough, their hypothesis is that renal replacement therapy helps clear out cytokine response and therefore treat COVID. I'd include.",TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,NA,NA
tri00398,ChiCTR2000030760,ChiCTR,2020-03-13,2020-03-13,FALSE,Zhejiang Hospital,Not Recruiting,Not Applicable,Observational,China,"A medical records based study for clinical characteristics of 2019 novel coronavirus pneumonia (COVID-19) in Zhejiang province, China",Clinical Presentation,No Intervention,No Intervention,74,http://www.chictr.org.cn/showproj.aspx?proj=50955,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,TRUE,FALSE,FALSE,NA,FALSE,NA,NA,FALSE,NA,NA
tri00399,ChiCTR2000030759,ChiCTR,2020-03-13,2020-02-15,TRUE,The First Affiliated Hospital of Wenzhou Medical University,Not Recruiting,Not Applicable,Interventional,China,Study for the therapeutic effect and mechanism of traditional Chinese medicine in the treatment of novel coronavirus pneumonia (COVID-19),Traditional Medicine (Unspecified),Traditional Medicine,Traditional Medicine,70,http://www.chictr.org.cn/showproj.aspx?proj=49284,Not yet recruiting,NA,2020-05-17,2020-05-17,0,0,TRUE,TRUE,TRUE,2020-05-17,NA,2020-05-17,protocol: http://doi.org/10.21203/rs.3.rs-25172/v1 protocol structured summary: http://doi.org/10.1186/s13063-020-04970-3,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,NA,NA
tri00400,ChiCTR2000030758,ChiCTR,2020-03-13,2020-03-10,TRUE,"Tongji Hospital, Tongji Medical College, Huazhong University of Science and Technology",Not Recruiting,Not Applicable,Observational,China,A medical records based study for sedation and Analgesia Usage in critically ill patients with novel coronavirus pneumonia (COVID-19),Drug,Unspecified sedation and analgesia,Unspecified (Sedation and analgesia),200,http://www.chictr.org.cn/showproj.aspx?proj=50590,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,TRUE,FALSE,FALSE,NA,FALSE,NA,NA,FALSE,NA,NA
tri00401,ChiCTR2000030757,ChiCTR,2020-03-13,2020-03-13,FALSE,Shenzhen-Peking University; The Hong Kong University of Science & Technology Medical Center,Not Recruiting,Not Applicable,Observational,China,Impact of Novel Coronavirus Pneumonia (COVID-19) Epidemic Period on the Management of investigator-initiated clinical trial and the resilience of medical service providers,Other (psych),No Intervention,No Intervention,100,http://www.chictr.org.cn/showproj.aspx?proj=50648,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,TRUE,FALSE,FALSE,NA,FALSE,NA,NA,FALSE,NA,NA
tri00402,ChiCTR2000030756,ChiCTR,2020-03-13,2020-02-20,TRUE,Shenzhen Hospital of Southern Medical University,Recruiting,Not Applicable,Observational,China,Detection of SARS-CoV-2 in EPS / semen of patients with novel coronavirus pneumonia (COVID-19),Clinical Presentation,No Intervention,No Intervention,60,http://www.chictr.org.cn/showproj.aspx?proj=50705,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,TRUE,FALSE,FALSE,NA,FALSE,NA,NA,FALSE,NA,NA
tri00403,ChiCTR2000030755,ChiCTR,2020-03-13,2020-03-15,FALSE,"Tongji Hospital, Tongji Medical College, Huazhong University of Science and Technology",Not Recruiting,Not Applicable,Observational,China,"A medical records based study for characteristics, prognosis of ederly patients with Novel Coronavirus Pneumonia (COVID-19) in Wuhan area",Prognosis,No Intervention,No Intervention,400,http://www.chictr.org.cn/showproj.aspx?proj=50945,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,TRUE,FALSE,FALSE,NA,FALSE,NA,NA,FALSE,NA,NA
tri00404,ChiCTR2000030754,ChiCTR,2020-03-13,2020-03-11,TRUE,The Third Affiliated Hospital of Sun Yat-Sen University,Not Recruiting,Not Applicable,Diagnostic test,China,Medical records based study for the accuracy of SARS-CoV-2 IgM antibody screening for diagnosis of novel coronavirus pneumonia (COVID-19),Diagnostics,Diagnostic Test or Assessment,Diagnostic Test or Assessment,30,http://www.chictr.org.cn/showproj.aspx?proj=50824,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,TRUE,FALSE,FALSE,NA,FALSE,NA,NA,FALSE,NA,NA
tri00405,ChiCTR2000030753,ChiCTR,2020-03-13,2020-02-01,TRUE,Shandong Provincial Chest hospital,No Status Given,Not Applicable,Observational,China,A medical records based analysis of the Incidence and Risk Factors of Ventilator-associated Pneumonia in ARDS Patients with Novel Coronavirus Pneumonia (COVID-19),Clinical Presentation,No Intervention,No Intervention,100,http://www.chictr.org.cn/showproj.aspx?proj=50901,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,TRUE,FALSE,FALSE,NA,FALSE,NA,NA,FALSE,NA,NA
tri00406,ChiCTR2000030752,ChiCTR,2020-03-13,2020-02-01,TRUE,Shandong Provincial Chest hospital,Recruiting,Not Applicable,Observational,China,A medical records based analysis for risk factors for death in patients with Novel Coronavirus Pneumonia (COVID-19),Prognosis,No Intervention,No Intervention,500,http://www.chictr.org.cn/showproj.aspx?proj=50925,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,TRUE,FALSE,FALSE,NA,FALSE,NA,NA,FALSE,NA,NA
tri00407,ChiCTR2000030751,ChiCTR,2020-03-13,2020-01-25,TRUE,Affiliated Hospital of Inner Mongolia University for the Nationalities,Not Recruiting,Not Applicable,Interventional,China,Clinical Research for Traditional Mongolian Medicine in the treatment of novel coronavirus pneumonia (COVID-19),Traditional Medicine (Unspecified),Traditional Medicine,Traditional Medicine,60,http://www.chictr.org.cn/showproj.aspx?proj=50941,Not yet recruiting,NA,2020-12-25,2020-12-25,0,0,TRUE,NA,NA,NA,NA,NA,NA,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,NA,NA,FALSE,NA,NA
tri00408,ChiCTR2000030747,ChiCTR,2020-03-13,2020-02-22,TRUE,Hubei Hospital of Traditional Chinese Medicine,Recruiting,Not Applicable,Observational,China,A prospective cohort  study for comprehensive treatment of Chinese medicine in the treatment of convalescent patients of novel coronavirus pneumonia (COVID-19),Traditional Medicine (Unspecified),Traditional Medicine,Traditional Medicine,1500,http://www.chictr.org.cn/showproj.aspx?proj=50000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,TRUE,FALSE,FALSE,NA,FALSE,NA,NA,FALSE,NA,NA
tri00409,ChiCTR2000030744,ChiCTR,2020-03-13,2020-02-01,TRUE,Shandong Provincial Chest hospital,Recruiting,Not Applicable,Interventional,China,Clinical Application of ECMO(or Ultra-Protective Lung Mechanical Ventilation) in the Treatment of Patients with ARDS due to novel Coronavirus Pneumonia (COVID-19),Drug,Oxygen,Oxygen,30,http://www.chictr.org.cn/showproj.aspx?proj=50910,Recruiting,NA,2020-08-31,2020-08-31,0,0,TRUE,NA,NA,NA,NA,NA,NA,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,NA,NA,FALSE,NA,NA
tri00410,ChiCTR2000030742,ChiCTR,2020-03-13,2020-03-15,FALSE,"Tongji Hospital, Tongji Medical College, Huazhong University of Science and Technology",Not Recruiting,Not Applicable,Observational,China,"Characteristics, prognosis, and treatments effectiveness of critically ill patients with Novel Coronavirus Pneumonia (COVID-19)",Clinical Presentation,No Intervention,No Intervention,200,http://www.chictr.org.cn/showproj.aspx?proj=50857,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,TRUE,FALSE,FALSE,NA,FALSE,NA,NA,FALSE,NA,NA
tri00411,ChiCTR2000030741,ChiCTR,2020-03-13,2020-02-01,TRUE,Shandong Provincial Chest hospital,Recruiting,Not Applicable,Observational,China,Observational Study for Prone Position Ventilation and Conventional Respiratory Support in ARDS Patients with  Novel Coronavirus Pneumonia (COVID-19),Other (physical),Mechanical ventilation,Mechanical ventilation,100,http://www.chictr.org.cn/showproj.aspx?proj=50907,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,TRUE,FALSE,FALSE,NA,FALSE,NA,NA,FALSE,NA,NA
tri00412,ChiCTR2000030740,ChiCTR,2020-03-13,2020-02-01,TRUE,Shandong Provincial Chest hospital,Recruiting,Not Applicable,Observational,China,Analysis of the incidence and risk factors of ARDS in patients with Novel Coronavirus Pneumonia (COVID-19).,Clinical Presentation,No Intervention,No Intervention,100,http://www.chictr.org.cn/showproj.aspx?proj=50900,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,TRUE,FALSE,FALSE,NA,FALSE,NA,NA,FALSE,NA,NA
tri00413,ChiCTR2000030739,ChiCTR,2020-03-13,2020-02-01,TRUE,Shandong Provincial Chest hospital,Recruiting,Not Applicable,Observational,China,Exploration of the Clinical Characteristics of Patients with Novel Coronavirus Pneumonia (COVID-19) and Its Differences from Patients with Severe Influenza A and MERS,Clinical Presentation,No Intervention,No Intervention,100,http://www.chictr.org.cn/showproj.aspx?proj=50896,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,TRUE,FALSE,FALSE,NA,FALSE,NA,NA,FALSE,NA,NA
tri00414,ChiCTR2000030722,ChiCTR,2020-03-12,2020-03-09,TRUE,Shanghai First People's Hospital,Not Recruiting,Not Applicable,Observational,China,Auscultatory characteristics of novel coronavirus pneumonia (COVID-19),Clinical Presentation,No Intervention,No Intervention,30,http://www.chictr.org.cn/showproj.aspx?proj=50338,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,TRUE,FALSE,FALSE,NA,FALSE,NA,NA,FALSE,NA,NA
tri00415,ChiCTR2000030721,ChiCTR,2020-03-12,2020-03-16,FALSE,Affiliated Hospital of Guangdong Medical University,Not Recruiting,Not Applicable,Diagnostic test,China,A comparative study for the sensitivity of induced sputum and throat swabs for the detection of SARS-CoV-2 by real-time PCR in patients with novel coronavirus pneumonia (COVID-19),Diagnostics,Diagnostic Test or Assessment,Diagnostic Test or Assessment,50,http://www.chictr.org.cn/showproj.aspx?proj=50759,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,TRUE,FALSE,FALSE,NA,FALSE,NA,NA,FALSE,NA,NA
tri00416,ChiCTR2000030720,ChiCTR,2020-03-11,2020-03-01,TRUE,Hubei Hospital of Traditional Chinese Medicine,Recruiting,Not Applicable,Interventional,China,Prognosis Investigation and Intervention Study on Patients with novel coronavirus pneumonia (COVID-19) in recovery period Based on Community Health Management,Prognosis,No Intervention,No Intervention,120,http://www.chictr.org.cn/showproj.aspx?proj=50793,Recruiting,NA,2020-08-31,2020-08-31,0,0,TRUE,NA,NA,NA,NA,NA,NA,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,NA,NA,FALSE,NA,NA
tri00417,ChiCTR2000030719,ChiCTR,2020-03-11,2020-03-01,TRUE,Wuhan Hospital of Integrated Traditional Chinese and Western Medicine,Recruiting,Not Applicable,Observational,China,A retrospective cohort study for integrated traditional Chinese and western medicine in the treatment of 1071 patients with novel coronavirus pneumonia (COVID-19) in Wuhan,Traditional Medicine + Western Medicine,Traditional Medicine,Traditional Medicine,1071,http://www.chictr.org.cn/showproj.aspx?proj=50867,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,TRUE,FALSE,FALSE,NA,FALSE,NA,NA,FALSE,NA,NA
tri00418,ChiCTR2000030718,ChiCTR,2020-03-11,2020-02-12,TRUE,Zhongnan Hospital of Wuhan University,Recruiting,Phase 4,Interventional,China,Randomized controlled trial for Chloroquine Phosphate in the Treatment of novel coronavirus pneumonia (COVID-19),Drug,Chloroquine,Chloroquine,80,http://www.chictr.org.cn/showproj.aspx?proj=50843,Recruiting,NA,2020-05-30,2020-05-30,0,0,TRUE,TRUE,TRUE,2020-05-30,NA,2020-05-30,NA,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,NA,NA
tri00419,ChiCTR2000030717,ChiCTR,2020-03-11,2020-04-01,FALSE,"Tongji Hospital, Tongji Medical College, Huazhong University of Science and Technology",Not Recruiting,Not Applicable,Observational,China,A medical records based study for risk assessment and treatment timing of invasive fungal infection in novel coronavirus pneumonia (COVID-19) critical patients,Clinical Presentation,No Intervention,No Intervention,260,http://www.chictr.org.cn/showproj.aspx?proj=50860,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,TRUE,FALSE,FALSE,NA,FALSE,NA,NA,FALSE,NA,NA
tri00420,ChiCTR2000030716,ChiCTR,2020-03-11,2020-03-05,TRUE,"Tongji Hospital, Tongji Medical College, Huazhong University of Science and Technology",Recruiting,Not Applicable,Observational,China,Shedding of SARS-CoV-2 in human semen and evaluation of reproductive health of novel coronavirus pneumonia (COVID-19) male patients,Clinical Presentation,No Intervention,No Intervention,150,http://www.chictr.org.cn/showproj.aspx?proj=50850,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,TRUE,FALSE,FALSE,NA,FALSE,NA,NA,FALSE,NA,NA
tri00421,ChiCTR2000030708,ChiCTR,2020-03-11,2020-03-10,TRUE,West China Hospital of Sichuan University,Recruiting,Not Applicable,Observational,China,Cross sectional study of dialysis treatment and mental status under the outbreak of novel coronavirus pneumonia (COVID-2019) in China,Other (renal),Dialysis,Dialysis,1000,http://www.chictr.org.cn/showproj.aspx?proj=50083,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,TRUE,FALSE,FALSE,NA,FALSE,NA,NA,FALSE,NA,NA
tri00422,ChiCTR2000030707,ChiCTR,2020-03-11,2020-03-20,FALSE,"Ganzi Hospital of West China Hospital, Sichuan University",Not Recruiting,Not Applicable,Observational,China,Retrospective study on novel coronavirus pneumonia (COVID-19) in Tibetan Plateau,Clinical Presentation,No Intervention,No Intervention,78,http://www.chictr.org.cn/showproj.aspx?proj=50160,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,TRUE,FALSE,FALSE,NA,FALSE,NA,NA,FALSE,NA,NA
tri00423,ChiCTR2000030706,ChiCTR,2020-03-11,2020-02-09,TRUE,Affiliated Hospital of Zunyi Medical University,Recruiting,Not Applicable,Diagnostic test,China,Cancelled by the investigator                       Application of cas13a-mediated RNA detection in the assay of novel coronavirus nucleic acid (COVID-19),Cancelled,Cancelled,Cancelled,300,http://www.chictr.org.cn/showproj.aspx?proj=50001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,FALSE,FALSE,FALSE,NA,FALSE,NA,NA,FALSE,NA,NA
tri00424,ChiCTR2000030703,ChiCTR,2020-03-10,2020-03-10,FALSE,Xiangya Hospital of Central South University,Recruiting,Not Applicable,Interventional,China,"A randomized, blinded, controlled, multicenter clinical trial to evaluate the efficacy and safety of Ixekizumab combined with conventional antiviral drugs in patients with novel coronavirus pneumonia (COVID-19)",Drug,"Ixekizumab + up to three of interferon-alfa, lopinavir/ritonavir, chloroquine, ribavirin, umifenovir",Ixekizumab; Interferon alpha; Lopinavir; Ritonavir; Chloroquine; Ribavirin; Umifenovir,40,http://www.chictr.org.cn/showproj.aspx?proj=50251,Recruiting,NA,2020-05-31,2020-05-31,0,0,TRUE,TRUE,TRUE,2020-05-31,NA,2020-05-31,NA,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,NA,NA
tri00425,ChiCTR2000030702,ChiCTR,2020-03-10,2020-02-15,TRUE,China-Japan Friendship Hospital,Recruiting,Not Applicable,Interventional,China,Plasma of the convalescent in the treatment of novel coronavirus pneumonia (COVID-19) common patient: a prospective clinical trial,ATMP,Plasma,Plasma,50,http://www.chictr.org.cn/showproj.aspx?proj=50537,Recruiting,NA,2020-08-15,2020-08-15,0,0,TRUE,NA,NA,NA,NA,NA,NA,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,NA,NA,FALSE,NA,NA
tri00426,ChiCTR2000030701,ChiCTR,2020-03-10,2020-03-10,FALSE,The Third People's Hospital of Shenzhen,Not Recruiting,Not Applicable,Interventional,China,"A randomized, parallel controlled open-label trial for the efficacy and safety of Prolongin (Enoxaparin Sodium Injection) in the treatment of adult patients with novel coronavirus pneumonia (COVID-19)",Drug,Heparin,Heparin,60,http://www.chictr.org.cn/showproj.aspx?proj=50795,Not yet recruiting,NA,2020-09-30,2020-09-30,0,0,TRUE,NA,NA,NA,NA,NA,NA,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,NA,NA,FALSE,NA,NA
tri00427,ChiCTR2000030700,ChiCTR,2020-03-10,2020-03-09,TRUE,"Union Hospital, Tongji Medical College, Huazhong University of Science and Technology",Not Recruiting,Not Applicable,Interventional,China,Study for the efficacy and safety of Prolongin (Enoxaparin Sodium Injection) in treatment of novel coronavirus pneumonia (COVID-19) adult common patients,Drug,Heparin,Heparin,60,http://www.chictr.org.cn/showproj.aspx?proj=50786,Not yet recruiting,NA,2020-09-30,2020-09-30,0,0,TRUE,NA,NA,NA,NA,NA,NA,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,NA,NA,FALSE,NA,NA
tri00428,ChiCTR2000030697,ChiCTR,2020-03-10,2020-03-10,FALSE,Ningbo First Hospital,Not Recruiting,Not Applicable,Observational,China,"A multi-center, open-label observation study for psychological status and intervention efficacy of doctors, nurses, patients and their families in novel coronavirus pneumonia (COVID-19) designated hospitals",Other (psych),Psychological,Psychological,1500,http://www.chictr.org.cn/showproj.aspx?proj=50781,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,TRUE,FALSE,FALSE,NA,FALSE,NA,NA,FALSE,NA,NA
