trialid,search_type,pub_type,search_engine,doi,pmid,cord_id,url,date_publication,date_completion,comments
NCT04276688,results_check,full_results_journal_article,NA,10.1016/S0140-6736(20)31042-4,32401715,8ljnxihr,https://www.sciencedirect.com/science/article/pii/S0140673620310424; https://doi.org/10.1016/s0140-6736(20)31042-4; https://api.elsevier.com/content/article/pii/S0140673620310424; https://www.ncbi.nlm,2020-05-08,NA,NA
IRCT20100228003449N28,results_check,full_results_preprint,NA,10.1101/2020.05.28.20116467,NA,ipvog4m8,http://medrxiv.org/cgi/content/short/2020.05.28.20116467v1?rss=1,2020-05-30,2020-05-03,NA
IRCT20100228003449N28,trn,full_results_journal_article,pubmed,10.1128/AAC.01061-20,32661006,NA,https://aac.asm.org/content/64/9/e01061-20,2020-08-20,2020-05-03,NA
NCT04343729,registry,full_results_journal_article,NA,10.1093/cid/ciaa1177,32785710,NA,https://academic.oup.com/cid/advance-article/doi/10.1093/cid/ciaa1177/5891816,2020-08-12,2020-06-16,NA
JPRN-UMIN000040341,keywords,full_results_preprint,europe_pmc,10.1101/2020.07.13.20146175,NA,NA,https://www.medrxiv.org/content/10.1101/2020.07.13.20146175v1,2020-07-20,NA,NA
NCT04321421,results_check,full_results_preprint,NA,10.1101/2020.05.26.20113373,NA,ze4bvjkt,http://medrxiv.org/cgi/content/short/2020.05.26.20113373v1?rss=1,2020-05-29,2020-04-28,NA
NCT04321421,registry,other,NA,10.1007/s11739-020-02384-2,32468508,NA,https://link.springer.com/article/10.1007%2Fs11739-020-02384-2,2020-05-28,NA,Protocol
NCT04321421,keywords,full_results_journal_article,pubmed,10.3324/haematol.2020.261784,33256382,NA,https://haematologica.org/article/view/9826,2020-07-23,2020-04-28,pre-published date
NCT04399746,keywords,other,google,NA,NA,NA,https://www.biomedres.info/biomedical-research/effects-of-ivermectinazithromycincholecalciferol-combined-therapy-on-covid19-infected-patients-a-proof-of-concept-study-14435.html,2020-08-15,NA,NA
EUCTR2020-001243-15-BE,registry,summary_results,NA,NA,NA,NA,https://www.clinicaltrialsregister.eu/ctr-search/trial/2020-001243-15/results,2021-01-03,NA,NA
EUCTR2020-001243-15-BE,trn,full_results_preprint,europe_pmc,10.2139/ssrn.3731461,NA,NA,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3731461,2020-12-10,NA,NA
EUCTR2020-001270-29-GB,registry,summary_results,NA,NA,NA,NA,https://www.clinicaltrialsregister.eu/ctr-search/trial/2020-001270-29/results,2020-10-24,NA,NA
